Identifier,Type,AttributeType,Sequence,Displayable,Searchable,Comparable,Facetable,STOREDISPLAY,Merchandisable,AttributeField1,AttributeField2,AttributeField3,LanguageId,Name,Description,SecondaryDescription,AssociatedKeyword,Field1,Footnote,UnitOfMeasure,Store,HeaderName,MultiLang,MultiValue,MinOcurrences,MaxLength,LkupType,AttrValPrefix,LkupTableName,SequencingEnabled,FacetableMultiSelect
EMR Access Valve,STRING,1,2579,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Access Valve,EMR Access Valve,,,,,,EMR,Access Valve,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Access Valve Lookup Table,TRUE,TRUE
EMR Capacity Control,STRING,1,2606,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Capacity Control,EMR Capacity Control,,,,,,EMR,Capacity Control,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Capacity Control Lookup Table,TRUE,TRUE
EMR checkoutConfirmationSpot,STRING,2,2614,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,checkoutConfirmationSpot,EMR checkoutConfirmationSpot,,,,,,EMR,checkoutConfirmationSpot,TRUE,50,,60,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Memory,STRING,1,2682,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Memory,EMR Memory,,,,,,EMR,Memory,TRUE,1,,60,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Memory Lookup Table,TRUE,TRUE
EMR Minimum Operating Pressure Differential,STRING,1,2685,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Minimum Operating Pressure Differential,EMR Minimum Operating Pressure Differential,,,,,,EMR,Minimum Operating Pressure Differential,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Minimum Operating Pressure Differential Lookup Table,TRUE,TRUE
EMR Motor Code,STRING,2,2687,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Motor Code,EMR Motor Code,,,,,,EMR,Motor Code,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Multiples,STRING,2,2691,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Multiples,EMR Multiples,,,,,,EMR,Multiples,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Pressure,STRING,1,2715,TRUE,FALSE,TRUE,FALSE,,TRUE,,,,-1,Pressure,EMR Pressure,,,,,,EMR,Pressure,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Pressure Lookup Table,TRUE,TRUE
EMR Product Series,STRING,2,2719,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Product Series,EMR Product Series,,,,,,EMR,Product Series,TRUE,1,0,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR recurringOnly,STRING,1,2726,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,recurringOnly,EMR recurringOnly,,,,,,EMR,recurringOnly,FALSE,1,,10,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Refrigerant charge,STRING,2,2728,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Refrigerant Charge,EMR Refrigerant charge,,,,,,EMR,Refrigerant Charge,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press CO2,STRING,2,2738,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (CO2),EMR Max Operating Press. (CO2),,,,,,EMR,Max Operating Press. (CO2),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Combustible Gas,STRING,2,2739,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Combustible Gas),EMR Max Operating Press. (Combustible Gas),,,,,,EMR,Max Operating Press. (Combustible Gas),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Cryogenic Fluids,STRING,2,2740,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Cryogenic Fluids),EMR Max Operating Press. (Cryogenic Fluids),,,,,,EMR,Max Operating Press. (Cryogenic Fluids),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Fuel Gas,STRING,2,2741,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Fuel Gas),EMR Max Operating Press. (Fuel Gas),,,,,,EMR,Max Operating Press. (Fuel Gas),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Pressure Range,STRING,1,2742,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Max Operating Pressure Range,EMR Max Operating Pressure Range,,,,,,EMR,Max Operating Pressure Range,TRUE,50,,200,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Max Operating Pressure Range Lookup Table,TRUE,TRUE
EMR Max Operating Press Oxygen,STRING,2,2743,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Oxygen),EMR Max Operating Press. (Oxygen),,,,,,EMR,Max Operating Press. (Oxygen),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Steam,STRING,2,2744,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Steam),EMR Max Operating Press. (Steam),,,,,,EMR,Max Operating Press. (Steam),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Max Operating Press Superheated water,STRING,2,2745,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Max Operating Press. (Superheated water),EMR Max Operating Press. (Superheated water),,,,,,EMR,Max Operating Press. (Superheated water),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press CO2,STRING,2,2746,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (CO2),EMR Min Operating Press. (CO2),,,,,,EMR,Min Operating Press. (CO2),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Combustible Gas,STRING,2,2747,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Combustible Gas),EMR Min Operating Press. (Combustible Gas),,,,,,EMR,Min Operating Press. (Combustible Gas),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Cryogenic Fluids,STRING,2,2748,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Cryogenic Fluids),EMR Min Operating Press. (Cryogenic Fluids),,,,,,EMR,Min Operating Press. (Cryogenic Fluids),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Fuel Gas,STRING,2,2749,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Fuel Gas),EMR Min Operating Press. (Fuel Gas),,,,,,EMR,Min Operating Press. (Fuel Gas),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Oxygen,STRING,2,2750,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Oxygen),EMR Min Operating Press. (Oxygen),,,,,,EMR,Min Operating Press. (Oxygen),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Steam,STRING,2,2751,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Steam),EMR Min Operating Press. (Steam),,,,,,EMR,Min Operating Press. (Steam),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Min Operating Press Superheated water,STRING,2,2752,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Min Operating Press. (Superheated water),EMR Min Operating Press. (Superheated water),,,,,,EMR,Min Operating Press. (Superheated water),TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Sight Glasses Connection Type,STRING,1,2762,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Sight Glasses Connection Type,EMR Sight Glasses Connection Type,,,,,,EMR,Sight Glasses Connection Type,TRUE,50,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Sight Glasses Connection Type Lookup Table,TRUE,TRUE
EMR Single or Tandem,STRING,1,2763,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Single/Tandem,EMR Single/Tandem,,,,,,EMR,Single/Tandem,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Single Tandem Lookup Table,TRUE,TRUE
EMR subscriptionType,STRING,2,2777,TRUE,FALSE,TRUE,FALSE,,TRUE,,,,-1,subscriptionType,EMR subscriptionType,,,,,,EMR,subscriptionType,TRUE,1,,60,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Temperature Pressure Controls Connection Size,STRING,1,2787,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,-1,Temperature Pressure Controls Connection Size,EMR Temperature Pressure Controls Connection Size,,,,,,EMR,Temperature Pressure Controls Connection Size,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Temperature Pressure Controls Connection Size Lookup Table,TRUE,TRUE
EMR Increase or Decrease Design Capacity,STRING,2,2810,TRUE,TRUE,TRUE,FALSE,,FALSE,,,,-1,Increase/Decrease Design Capacity,EMR Increase or Decrease Design Capacity,,,,,,EMR,Increase/Decrease Design Capacity,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Discount Code,STRING,2,2816,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Discount Code,EMR Discount Code,,,,,,EMR,Discount Code,FALSE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Bulb Type,STRING,1,2817,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Lighting Type,EMR Bulb Type,,,,,,EMR,Lighting Type,TRUE,1,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Bulb Type Lookup Table,TRUE,TRUE
EMR Freight Class,STRING,1,2820,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Freight Class,EMR Freight Class,,,,,,EMR,Freight Class,TRUE,50,,10,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Freight Class Lookup Table,TRUE,TRUE
EMR Hazardous Material Flag,STRING,1,2821,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Hazardous Material Flag,EMR Hazardous Material Flag,,,,,,EMR,Hazardous Material Flag,TRUE,1,,10,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Hazardous Material Flag Lookup Table,TRUE,FALSE
EMR More Ways To Shop,STRING,1,2822,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,More Ways To Shop,EMR More Ways To Shop,,,,,,EMR,More Ways To Shop,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,More Ways To Shop Lookup Table,TRUE,TRUE
EMR Dispenser Finish,STRING,1,2823,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Dispenser Finish,EMR Dispenser Finish,,,,,,EMR,Dispenser Finish,TRUE,1,,100,LOOKUP_TABLE,Attribute_Dictionary_Defining_Attributes_All_EMR_Extended_Attributes,Dispenser Finish Lookup Table,TRUE,TRUE
EMR Air Restricted,STRING,1,2824,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Air Restricted,EMR Air Restricted,,,,,,EMR,Air Restricted,TRUE,1,,10,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Air Restricted Lookup Table,TRUE,FALSE
EMR Style Collection,STRING,1,2825,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Style Collection,EMR Style Collection,,,,,,EMR,Style Collection,TRUE,50,,25,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Style Collection Lookup Table,TRUE,TRUE
EMR Orientation,STRING,1,2826,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,-1,Orientation,EMR Orientation,,,,,,EMR,Orientation,TRUE,50,,50,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Orientation Lookup Table,TRUE,TRUE
EMR Tool Kit,STRING,1,2829,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,-1,Tool Kit,EMR Tool Kit,,,,,,EMR,Tool Kit,FALSE,1,,100,STRING_ENUMERATION,Attribute_Dictionary_Defining_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Product Brand,STRING,1,2830,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,-1,Product Brand,EMR Product Brand,,,,,,EMR,Product Brand,FALSE,1,,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Fan Housing Finish,STRING,1,2831,TRUE,TRUE,FALSE,TRUE,,TRUE,,,,-1,Fan Housing Finish,EMR Fan Housing Finish,,,,,,EMR,Fan Housing Finish,TRUE,1,,300,LOOKUP_TABLE,Attribute_Dictionary_Defining_Attributes_All_EMR_Extended_Attributes,Fan Housing Finish Lookup Table,TRUE,TRUE
EMR Inlet Connection Size,STRING,2,2834,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Inlet Connection Size,EMR Inlet Connection Size,,,,,,EMR,Inlet Connection Size,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Filtration,STRING,2,2836,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Filtration,EMR Filtration,,,,,,EMR,Filtration,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Lead Length,STRING,2,2837,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Lead Length,EMR Lead Length,,,,,,EMR,Lead Length,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Decibel - dBA,STRING,2,2839,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Decibel - dBA,EMR Decibel - dBA,,,,,,EMR,Decibel - dBA,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Power Cord - ft,STRING,2,2846,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Power Cord - ft,EMR Power Cord - ft,,,,,,EMR,Power Cord - ft,TRUE,50,,10,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Competitive Cross Reference,STRING,2,2849,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Competitive Cross Reference,EMR Competitive Cross Reference,,,,,,EMR,Competitive Cross Reference,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Supersession Cross Reference,STRING,2,2850,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Supersession Cross Reference,EMR Supersession Cross Reference,,,,,,EMR,Supersession Cross Reference,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Whats In The Box Image,STRING,2,2851,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Whats In The Box Image,EMR Whats In The Box Image,,,,,,EMR,Whats In The Box Image,TRUE,1,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Whats In The Box Alt Tags,STRING,2,2852,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Whats In The Box Alt Tags,EMR Whats In The Box Alt Tags,,,,,,EMR,Whats In The Box Alt Tags,TRUE,1,,500,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Whats In The Box Content,STRING,2,2853,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,-1,Whats In The Box Content,EMR Whats In The Box Content,,,,,,EMR,Whats In The Box Content,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Compatability,STRING,2,2899,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Compatibility,EMR Compatability,,,,,,EMR,Compatibility,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Range,STRING,2,2909,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Range,EMR Range,,,,,,EMR,Range,TRUE,50,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Access Type,STRING,2,2919,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Access Type,EMR Access Type,,,,,,EMR,Access Type,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Bleed,STRING,2,2922,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Bleed,EMR Bleed,,,,,,EMR,Bleed,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Capacity (Nominal),STRING,2,2923,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Capacity (Nominal),EMR Capacity (Nominal),,,,,,EMR,Capacity (Nominal),TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Charge Code,STRING,2,2924,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Charge Code,EMR Charge Code,,,,,,EMR,Charge Code,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Connector Type,STRING,1,2926,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Connector Type,EMR Connector Type,,,,,,EMR,Connector Type,TRUE,1,,100,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Connector Type Lookup Table,TRUE,TRUE
EMR Contact Rating,STRING,2,2927,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Contact Rating,EMR Contact Rating,,,,,,EMR,Contact Rating,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Discharge Maximum,STRING,2,2931,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Discharge Maximum,EMR Discharge Maximum,,,,,,EMR,Discharge Maximum,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Elastomer Code,STRING,2,2933,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Elastomer Code,EMR Elastomer Code,,,,,,EMR,Elastomer Code,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Equalizer,STRING,2,2935,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Equalizer,EMR Equalizer,,,,,,EMR,Equalizer,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Extended Ends,STRING,2,2936,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Extended Ends,EMR Extended Ends,,,,,,EMR,Extended Ends,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Ignition Type,STRING,2,2939,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Ignition Type,EMR Ignition Type,,,,,,EMR,Ignition Type,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Inducer Motor/Blower Motor,STRING,2,2940,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Inducer Motor/Blower Motor,EMR Inducer Motor/Blower Motor,,,,,,EMR,Inducer Motor/Blower Motor,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Insulation,STRING,2,2942,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Insulation,EMR Insulation,,,,,,EMR,Insulation,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Outlet Connection Size,STRING,2,2946,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Outlet Connection Size,EMR Outlet Connection Size,,,,,,EMR,Outlet Connection Size,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Strainer,STRING,2,2951,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Strainer,EMR Strainer,,,,,,EMR,Strainer,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Switch Action,STRING,2,2952,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Switch Action,EMR Switch Action,,,,,,EMR,Switch Action,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Typical Applications,STRING,1,2956,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Typical Applications,EMR Typical Applications,,,,,,EMR,Typical Applications,TRUE,1,,1000,LOOKUP_TABLE,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,Typical Applications Lookup Table,TRUE,TRUE
EMR Bracket Style,STRING,2,2961,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Bracket Style,EMR Bracket Style,,,,,,EMR,Bracket Style,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR CFM Rating,STRING,2,2965,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,CFM Rating,EMR CFM Rating,,,,,,EMR,CFM Rating,TRUE,50,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Duty Cycle,STRING,2,2969,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Duty Cycle,EMR Duty Cycle,,,,,,EMR,Duty Cycle,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Nominal Size,STRING,2,2981,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Nominal Size,EMR Nominal Size,,,,,,EMR,Nominal Size,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Temperature Differential In Degrees,STRING,2,2993,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Temperature Differential In Degrees,EMR Temperature Differential In Degrees,,,,,,EMR,Temperature Differential In Degrees,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Lighting Calculator CTA,STRING,2,3002,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Lighting Calculator,EMR Lighting Calculator CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Select Online CTA,STRING,2,3003,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Select Online,EMR Select Online CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Spare Parts CTA,STRING,2,3004,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Spare Parts,EMR Spare Parts CTA,,,,,,EMR,,FALSE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Core_Attributes,,FALSE,FALSE
EMR Quickship Available,STRING,1,3005,TRUE,TRUE,FALSE,TRUE,,FALSE,,,,-1,Quickship Available,EMR Quickship Available,,,,,,EMR,Quickship Available,TRUE,50,,50,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,TRUE
EMR Date Created,STRING,2,3007,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Date Created,EMR Date Created,,,,,,EMR,Date Created,TRUE,1,,50,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Port Size,STRING,2,3018,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Port Size,EMR Port Size,,,,,,EMR,Port Size,TRUE,1,,100,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR B2B Only,STRING,1,3022,FALSE,TRUE,FALSE,FALSE,,TRUE,,,,-1,B2B Only,EMR B2B Only,,,,,,EMR,B2B Only,FALSE,1,,5,STRING_ENUMERATION,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Utility Belt_Cross Reference and Product Information,STRING,2,3024,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,-1,Cross Reference and Product Information,EMR Utility Belt_Cross Reference and Product Information,,,,,,EMR,,TRUE,1,,2000,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,FALSE,FALSE
EMR Actuator Type and Size,STRING,2,3030,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Actuator Type and Size,EMR Actuator Type and Size,,,,,,EMR,Actuator Type and Size,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
EMR Air Supply,STRING,2,3032,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,-1,Air Supply,EMR Air Supply,,,,,,EMR,Air Supply,TRUE,50,,200,,Attribute_Dictionary_Descriptive_Attributes_All_EMR_Extended_Attributes,,TRUE,FALSE
